school,department_name
NTU,Chinese Literature
NTU,Foreign Languages & Literatures
NTU,History
NTU,Philosophy
NTU,Anthropology
NTU,Library & Information Science
NTU,Japanese Language & Literature
NTU,Drama & Theatre
NTU,Mathematics
NTU,Physics
NTU,Chemistry
NTU,Geosciences
NTU,Psychology
NTU,Geography
NTU,Atmospheric Sciences
NTU,Political Science
NTU,Economics
NTU,Sociology
NTU,Social work
NTU,Clinical Laboratory Sciences & Medical Biotechnology
NTU,Dentistry
NTU,Pharmacy
NTU,Civil Engineering
NTU,Mechanical Engineering
NTU,Chemical Engineering
NTU,Engineering Science & Ocean Engineering
NTU,Materials Science & Engineering
NTU,Biomedical Engineering
NTU,Veterinary Medicine
NTU,Agronomy
NTU,Bioenvironmental Systems Engineering
NTU,Agricultural Chemistry
NTU,Animal Science & Technology
NTU,Agricultural Economics
NTU,Horticulture & Landscape Architecture
NTU,Bio-industry Communication & Development
NTU,Biomechatronics Engineering
NTU,Entomology
NTU,Plant Pathology & Microbiology
NTU,Business Administration
NTU,Accounting
NTU,Finance
NTU,International Business
NTU,Information Management
NTU,Public Health
NTU,Electrical Engineering
NTU,Computer Science & Information Engineering
NTU,Law
NTU,Life Science
NTU,Biochemical Science & Technology
NTU,Athletics
